Designator,Val,Mid X(mm),Mid Y(mm),Layer,Rotation,Population
U1,STM32G031F8P6,6.0,13.3,F,0,BOTH
U2,LSM6DSOTR,2.4,5.4,F,0,BOTH
U3,LPS28DFWTR,6.0,1.9,F,0,BOTH
U4,NAU7802SGI,6.0,22.1,F,0,UNDERWATER
U5,W25Q256JVEIQ,7.0,7.1,B,0,BOTH
U6,MCP73831T-2ACI/OT,2.2,28.8,F,0,BOTH
U7,TPS7A0233PDBVR,8.6,28.8,F,180,BOTH
Q1,2N7002,3.0,31.5,B,0,AWA
J1,BATTERY,9.8,33.5,F,90,BOTH
J2,POGO_DEBUG_CHARGE,0.75,13.8,B,90,BOTH
J3,FULL_BRIDGE_6WIRE,5.6,34.1,F,0,UNDERWATER
R1,4.7k,4.8,9.4,F,0,BOTH
R2,4.7k,7.2,9.4,F,0,BOTH
R3,20k,4.3,29.3,F,90,BOTH
R4,1M,10.3,15.4,F,90,BOTH
R5,330k,10.3,16.8,F,90,BOTH
R6,68R,1.0,31.3,F,90,AWA
R7,100k,2.0,30.8,F,0,AWA
R8,100R,2.2,22.5,F,90,UNDERWATER
R9,100R,2.2,24.0,F,90,UNDERWATER
R10,100k,10.3,19.2,F,90,BOTH
R11,10k,10.3,10.8,F,90,BOTH
C1,100n,9.7,13.1,F,90,BOTH
C2,100n,4.2,4.8,F,90,BOTH
C3,100n,4.2,6.0,F,90,BOTH
C4,100n,8.2,2.2,F,0,BOTH
C5,100n,9.7,21.0,F,90,BOTH
C6,1u,9.7,22.4,F,90,UNDERWATER
C7,100n,9.7,23.8,F,90,UNDERWATER
C8,100n,10.5,7.1,B,90,BOTH
C9,1u,7.0,30.5,F,0,BOTH
C10,1u,10.3,30.5,F,90,BOTH
C11,4.7u,0.8,27.0,F,90,BOTH
C12,4.7u,0.8,28.5,F,90,BOTH
C13,10n,2.2,20.8,F,90,UNDERWATER
C14,100n,10.3,14.0,F,90,BOTH
C15,8.2p,4.0,18.0,B,0,BOTH
C16,8.2p,8.0,18.0,B,0,BOTH
C17,100n,10.3,12.0,F,90,BOTH
D1,RED_HIGH_BRIGHT,1.0,33.4,F,90,AWA
SW1,SMT_REED_NO,9.8,18.0,B,90,BOTH
Y1,32.768kHz,6.0,18.0,B,0,BOTH
