Reference,Pin,Pin name,Net,Population
U1,1,PB7/I2C_SDA,I2C_SDA,BOTH
U1,2,VDD/VDDA,3V3,BOTH
U1,3,PA1/ADC,VBAT_SENSE,BOTH
U1,4,PF2/NRST,NRST,BOTH
U1,5,PB6/I2C_SCL,I2C_SCL,BOTH
U1,6,PA13/SWDIO,SWDIO,BOTH
U1,7,PA5/SPI_SCK,SPI_SCK,BOTH
U1,8,PA6/SPI_MISO,SPI_MISO,BOTH
U1,9,PA7/SPI_MOSI,SPI_MOSI,BOTH
U1,10,PB0/LED,LED_GATE,BOTH
U1,11,PA3/UART_RX,UART_RX,BOTH
U1,12,PA14/SWCLK,SWCLK,BOTH
U1,13,VSS/VSSA,GND,BOTH
U1,14,PA4/FLASH_CS,FLASH_CS,BOTH
U1,15,PC14/LSE_IN,LSE_IN,BOTH
U1,16,PC15/LSE_OUT,LSE_OUT,BOTH
U1,17,PA9/REED_WAKE,REED_WAKE,BOTH
U1,18,PA10/STRAIN_DRDY,STRAIN_DRDY,BOTH
U1,19,PA0/IMU_INT,IMU_INT,BOTH
U1,20,PA2/UART_TX,UART_TX,BOTH
U2,1,SDO/SA0,GND,BOTH
U2,2,SDx,GND,BOTH
U2,3,SCx,GND,BOTH
U2,4,INT1,IMU_INT,BOTH
U2,5,VDDIO,3V3,BOTH
U2,6,GND,GND,BOTH
U2,7,GND,GND,BOTH
U2,8,VDD,3V3,BOTH
U2,9,INT2,NC,BOTH
U2,10,OCS_AUX,NC,BOTH
U2,11,SDO_AUX,3V3,BOTH
U2,12,CS,3V3,BOTH
U2,13,SCL,I2C_SCL,BOTH
U2,14,SDA,I2C_SDA,BOTH
U3,1,SDA,I2C_SDA,BOTH
U3,2,SA0,GND,BOTH
U3,3,SCL,I2C_SCL,BOTH
U3,4,INT_DRDY,NC,BOTH
U3,5,GND,GND,BOTH
U3,6,VDD,3V3,BOTH
U3,7,PAD2LID,GND,BOTH
U4,1,REFP,BRIDGE_S+,UNDERWATER
U4,2,VIN1N,AIN_N_FILT,UNDERWATER
U4,3,VIN1P,AIN_P_FILT,UNDERWATER
U4,4,VIN2N,NC,UNDERWATER
U4,5,VIN2P,NC,UNDERWATER
U4,6,VBG,VBG,UNDERWATER
U4,7,REFN,BRIDGE_S-,UNDERWATER
U4,8,AVSS,GND,UNDERWATER
U4,9,DVSS,GND,UNDERWATER
U4,10,XIN,NC,UNDERWATER
U4,11,XOUT,NC,UNDERWATER
U4,12,DRDY,STRAIN_DRDY,UNDERWATER
U4,13,SCLK,I2C_SCL,UNDERWATER
U4,14,SDIO,I2C_SDA,UNDERWATER
U4,15,DVDD,3V3,UNDERWATER
U4,16,AVDD/LDO,BRIDGE_E+,UNDERWATER
U5,1,/CS,FLASH_CS,BOTH
U5,2,DO/IO1,SPI_MISO,BOTH
U5,3,/WP/IO2,3V3,BOTH
U5,4,GND,GND,BOTH
U5,5,DI/IO0,SPI_MOSI,BOTH
U5,6,CLK,SPI_SCK,BOTH
U5,7,/HOLD/IO3,3V3,BOTH
U5,8,VCC,3V3,BOTH
U6,1,STAT,CHG_STAT,BOTH
U6,2,VSS,GND,BOTH
U6,3,VBAT,VBAT,BOTH
U6,4,VDD,CHARGE_IN,BOTH
U6,5,PROG,CHG_PROG,BOTH
U7,1,IN,VBAT,BOTH
U7,2,GND,GND,BOTH
U7,3,EN,VBAT,BOTH
U7,4,NC,NC,BOTH
U7,5,OUT,3V3,BOTH
Q1,1,G,LED_GATE,AWA
Q1,2,S,GND,AWA
Q1,3,D,LED_K,AWA
J1,1,1,VBAT,BOTH
J1,2,2,GND,BOTH
J2,1,GND,GND,BOTH
J2,2,CHARGE_IN,CHARGE_IN,BOTH
J2,3,SWDIO,SWDIO,BOTH
J2,4,SWCLK,SWCLK,BOTH
J2,5,UART_TX,UART_TX,BOTH
J2,6,UART_RX,UART_RX,BOTH
J2,7,NRST,NRST,BOTH
J3,1,E+,BRIDGE_E+,UNDERWATER
J3,2,E-,GND,UNDERWATER
J3,3,S+,BRIDGE_S+,UNDERWATER
J3,4,S-,BRIDGE_S-,UNDERWATER
J3,5,A+,BRIDGE_A+,UNDERWATER
J3,6,A-,BRIDGE_A-,UNDERWATER
R1,1,1,I2C_SDA,BOTH
R1,2,2,3V3,BOTH
R2,1,1,I2C_SCL,BOTH
R2,2,2,3V3,BOTH
R3,1,1,CHG_PROG,BOTH
R3,2,2,GND,BOTH
R4,1,1,VBAT,BOTH
R4,2,2,VBAT_SENSE,BOTH
R5,1,1,VBAT_SENSE,BOTH
R5,2,2,GND,BOTH
R6,1,1,3V3,AWA
R6,2,2,LED_A,AWA
R7,1,1,LED_GATE,AWA
R7,2,2,GND,AWA
R8,1,1,BRIDGE_A+,UNDERWATER
R8,2,2,AIN_P_FILT,UNDERWATER
R9,1,1,BRIDGE_A-,UNDERWATER
R9,2,2,AIN_N_FILT,UNDERWATER
R10,1,1,3V3,BOTH
R10,2,2,REED_WAKE,BOTH
R11,1,1,3V3,BOTH
R11,2,2,NRST,BOTH
C1,1,1,3V3,BOTH
C1,2,2,GND,BOTH
C2,1,1,3V3,BOTH
C2,2,2,GND,BOTH
C3,1,1,3V3,BOTH
C3,2,2,GND,BOTH
C4,1,1,3V3,BOTH
C4,2,2,GND,BOTH
C5,1,1,3V3,BOTH
C5,2,2,GND,BOTH
C6,1,1,BRIDGE_E+,UNDERWATER
C6,2,2,GND,UNDERWATER
C7,1,1,VBG,UNDERWATER
C7,2,2,GND,UNDERWATER
C8,1,1,3V3,BOTH
C8,2,2,GND,BOTH
C9,1,1,VBAT,BOTH
C9,2,2,GND,BOTH
C10,1,1,3V3,BOTH
C10,2,2,GND,BOTH
C11,1,1,CHARGE_IN,BOTH
C11,2,2,GND,BOTH
C12,1,1,VBAT,BOTH
C12,2,2,GND,BOTH
C13,1,1,AIN_P_FILT,UNDERWATER
C13,2,2,AIN_N_FILT,UNDERWATER
C14,1,1,VBAT_SENSE,BOTH
C14,2,2,GND,BOTH
C15,1,1,LSE_IN,BOTH
C15,2,2,GND,BOTH
C16,1,1,LSE_OUT,BOTH
C16,2,2,GND,BOTH
C17,1,1,NRST,BOTH
C17,2,2,GND,BOTH
D1,1,1,LED_A,AWA
D1,2,2,LED_K,AWA
SW1,1,1,REED_WAKE,BOTH
SW1,2,2,GND,BOTH
Y1,1,1,LSE_IN,BOTH
Y1,2,2,LSE_OUT,BOTH
