Reference,AWA,UNDERWATER,Function
U1,POPULATE,POPULATE,STM32G031 MCU
U2,POPULATE,POPULATE,IMU
U3,POPULATE,POPULATE,Pressure
U4,DNP,POPULATE,Bridge ADC
U5,POPULATE,POPULATE,Flash
U6,POPULATE,POPULATE,Charger
U7,POPULATE,POPULATE,LDO
Q1,POPULATE,DNP,LED driver
D1,POPULATE,DNP,Visual indicator
J1,MANUAL,MANUAL,Battery wires
J2,PCB_ONLY,PCB_ONLY,Pogo lands
J3,DNP,MANUAL,Six-wire bridge
SW1,POPULATE,POPULATE,Magnetic wake
Y1,POPULATE,POPULATE,Low-drift clock
R1 R2 R3 R4 R5 R10 R11 R12,POPULATE,POPULATE,Common resistors
R6 R7,POPULATE,DNP,LED network
R8 R9,DNP,POPULATE,Bridge input filter
C1 C2 C3 C4 C5 C8 C9 C10 C11 C12 C14 C15 C16 C17,POPULATE,POPULATE,Common capacitors
C6 C7 C13,DNP,POPULATE,Bridge ADC capacitors
